example_id                                      | status | run_time              |
----------------------------------------------- | ------ | --------------------- |
./spec/lib/site_analyzer/page_spec.rb[1:1:1]    | passed | 0.10858 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:2:1:1]  | passed | 0.26749 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:3:1:1]  | passed | 0.1273 seconds        |
./spec/lib/site_analyzer/page_spec.rb[1:3:2:1]  | passed | 0.32309 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:4:1:1]  | passed | 0.10908 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:4:2:1]  | passed | 0.299 seconds         |
./spec/lib/site_analyzer/page_spec.rb[1:5:1:1]  | passed | 0.28163 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:5:2:1]  | passed | 0.09747 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:6:1:1]  | passed | 0.30174 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:7:1:1]  | passed | 0.11276 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:8:1:1]  | passed | 0.31618 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:9:1]    | passed | 0.29151 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:10:1]   | passed | 0.09589 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:11:1]   | passed | 0.16429 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:12:1]   | passed | 0.10059 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:13:1]   | passed | 0.36516 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:14:1]   | passed | 0.09595 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:15:1]   | passed | 0.51359 seconds       |
./spec/lib/site_analyzer/page_spec.rb[1:16:1]   | passed | 0.45837 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:1:1]  | passed | 0.13567 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:2:1]  | passed | 0.11333 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:3:1]  | passed | 11.93 seconds         |
./spec/lib/site_analyzer/report_spec.rb[1:4:1]  | passed | 0.13883 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:5:1]  | passed | 0.11542 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:6:1]  | passed | 0.10977 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:7:1]  | passed | 0.11213 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:8:1]  | passed | 0.11812 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:9:1]  | passed | 0.12352 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:10:1] | passed | 0.11633 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:11:1] | passed | 0.12955 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:12:1] | passed | 0.11718 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:13:1] | passed | 0.14551 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:14:1] | passed | 0.11432 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:15:1] | passed | 1 minute 1.33 seconds |
./spec/lib/site_analyzer/report_spec.rb[1:16:1] | passed | 0.12619 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:17:1] | passed | 0.17311 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:18:1] | passed | 0.15947 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:19:1] | passed | 0.11818 seconds       |
./spec/lib/site_analyzer/report_spec.rb[1:20:1] | passed | 12.67 seconds         |
./spec/lib/site_analyzer/site_spec.rb[1:1:1]    | passed | 1.03 seconds          |
./spec/lib/site_analyzer/site_spec.rb[1:2:1]    | passed | 9.12 seconds          |
./spec/lib/site_analyzer/site_spec.rb[1:3:1]    | passed | 8.34 seconds          |
./spec/lib/site_analyzer/site_spec.rb[1:4:1]    | passed | 8.74 seconds          |
./spec/lib/site_analyzer/site_spec.rb[1:5:1]    | passed | 5.06 seconds          |
./spec/lib/site_analyzer/site_spec.rb[1:6:1]    | passed | 9.77 seconds          |
./spec/lib/site_analyzer/site_spec.rb[1:7:1]    | passed | 9.85 seconds          |
./spec/lib/site_analyzer/site_spec.rb[1:8:1]    | passed | 8.68 seconds          |
./spec/lib/site_analyzer_spec.rb[1:1]           | passed | 0.0002 seconds        |
./spec/lib/site_analyzer_spec.rb[1:2]           | passed | 0.1058 seconds        |
./spec/lib/site_analyzer_spec.rb[1:3]           | passed | 0.42713 seconds       |
./spec/lib/site_analyzer_spec.rb[1:4]           | passed | 5 minutes 26 seconds  |
./spec/lib/site_analyzer_spec.rb[1:5]           | passed | 0.37452 seconds       |
./spec/lib/site_analyzer_spec.rb[1:6]           | passed | 2.52 seconds          |
